,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0,-1214.4034,158.55766,218.59543,11003.239,0.0,0.0,-288.3705,0.0,0.0,7.563606,0.0,-4130.265,256.938,-96.158646,0.0,69.56185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.394173,-145.20355,-319.38803,0.0,0.0,0.0,0.0,0.0,0.0,82.59834,0.47585717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2651.2957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4671338,0.0,0.0,22.60593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.88147,0.0,0.0,0.0,294.65088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.54753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.730804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-7750.589,120.76178,80.46349,-38751.69,0.0,0.0,-168.54227,0.0,0.0,5.858729,0.0,-1795.3868,-495.65448,6.922414,0.0,149.14597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.260101,-181.1287,-303.13303,0.0,0.0,0.0,0.0,0.0,0.0,16.363077,0.301448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.83701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.945385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.476756,0.0,0.0,22.690664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15681.565,0.0,0.0,0.0,104.36508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1105.9651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.023515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2636.9014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-2543.329,-675.5929,63.988476,15235.406,0.0,0.0,66.446655,0.0,0.0,53.5811,0.0,5665.707,93.82477,9.455638,0.0,136.98788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.63977,401.87012,1238.4147,0.0,0.0,0.0,0.0,0.0,0.0,26.236172,1.3084276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.2964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.152723,0.0,0.0,83.63081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.51562,0.0,0.0,0.0,294.65088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.54753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.097525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.19527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,297.87106,195.66656,172.60852,-9321.489,0.0,0.0,-439.43198,0.0,0.0,17.862816,0.0,-3201.9304,-2203.7415,12.019827,0.0,489.53085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.260101,119.99506,385.08566,0.0,0.0,0.0,0.0,0.0,0.0,25.75377,0.47585717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2834.4573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.83701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.59596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6277466,0.0,0.0,51.01752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.21783,0.0,0.0,0.0,104.36508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.94775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.833067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.6782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-229.77634,-504.92776,233.0503,11802.482,0.0,0.0,248.39154,0.0,0.0,17.862816,0.0,-4990.78,-305.29794,38.129215,0.0,176.39099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.394173,196.76036,596.50836,0.0,0.0,0.0,0.0,0.0,0.0,82.59834,0.47585717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2834.4578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6277466,0.0,0.0,48.905334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.51562,0.0,0.0,0.0,294.65088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.54753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.732586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,63.960045,-274.51285,-555.0963,-10448.154,0.0,0.0,30.955822,0.0,0.0,53.5811,0.0,4115.847,607.27673,-75.6451,0.0,312.1634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.83522,280.3678,867.3149,0.0,0.0,0.0,0.0,0.0,0.0,13.682001,1.3084276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2651.2957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.83701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.59596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.152723,0.0,0.0,82.749695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.21783,0.0,0.0,0.0,104.36508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.94775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.730804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.3926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,923.622,-1118.0492,54.083836,-21637.137,0.0,0.0,46.815853,0.0,0.0,5.858729,0.0,-2232.5,165.54759,-110.199265,0.0,165.17247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.260101,-133.55179,-306.00714,0.0,0.0,0.0,0.0,0.0,0.0,-386.74084,0.301448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1253.4554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.83701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.710495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.476756,0.0,0.0,35.655037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.23334,0.0,0.0,0.0,104.36508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.94775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.948483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2424.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-154.88058,-585.1734,110.73592,12007.417,0.0,0.0,66.446655,0.0,0.0,53.5811,0.0,-2285.4639,-279.4079,9.455638,0.0,136.98788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.394173,348.77612,1048.2909,0.0,0.0,0.0,0.0,0.0,0.0,82.59834,1.3084276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2807.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.152723,0.0,0.0,83.63081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.51562,0.0,0.0,0.0,294.65088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.54753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.732586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-1617.3981,168.65178,56.38375,11499.637,0.0,0.0,52.87154,0.0,0.0,11.924636,0.0,4209.1587,152.60039,-75.6451,0.0,149.88493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.63977,-332.3431,-5024.2256,0.0,0.0,0.0,0.0,0.0,0.0,26.236172,1.3084276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.2964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6026645,0.0,0.0,28.514135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.88147,0.0,0.0,0.0,294.65088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.16571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.097525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.19527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,345.8299,223.476,172.60852,-8080.5205,0.0,0.0,-439.43198,0.0,0.0,5.9765964,0.0,-1981.0575,-2122.967,12.019827,0.0,482.9051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.260101,-36.620056,-447.26382,0.0,0.0,0.0,0.0,0.0,0.0,25.75377,0.47585717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2807.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.658543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.69534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4671338,0.0,0.0,-594.7227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.9516,0.0,0.0,0.0,-1069.7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.84787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.833067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.6782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,976.55786,126.45553,72.45135,-21344.703,0.0,0.0,-128.8957,0.0,0.0,5.858729,0.0,-1559.5417,-14.207001,-55.379322,0.0,320.40015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.260101,-181.1287,-1310.143,0.0,0.0,0.0,0.0,0.0,0.0,25.75377,0.301448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1299.2477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.658543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.59596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.476756,0.0,0.0,36.25133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.8323,0.0,0.0,0.0,-1069.7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1122.6299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.705857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.6782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-1595.5667,-6103.5093,61.669197,17569.316,0.0,0.0,-117.51906,0.0,0.0,11.920608,0.0,2749.453,198.16228,5.232266,0.0,236.94652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1301.1182,-248.95355,718.44763,0.0,0.0,0.0,0.0,0.0,0.0,26.236172,1.3084276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2651.2957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-575.7633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.152723,0.0,0.0,-885.89557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4719.7754,0.0,0.0,0.0,294.65088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-296.7855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.730804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.00632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,577.1722,-2992.1807,71.26279,-13954.613,0.0,0.0,62.786743,0.0,0.0,17.862816,0.0,-4594.2603,-2128.424,-305.03387,0.0,-15678.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.260101,110.14637,382.21146,0.0,0.0,0.0,0.0,0.0,0.0,25.75377,0.47585717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5629.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.83701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.22463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6277466,0.0,0.0,27.412916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.15845,0.0,0.0,0.0,104.36508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1122.6299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.833067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.85974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,725.3538,-545.90796,45.438576,13791.288,0.0,0.0,36.600723,0.0,0.0,53.5811,0.0,7807.9604,152.60039,-75.6451,0.0,140.78558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.63977,394.44827,1238.4147,0.0,0.0,0.0,0.0,0.0,0.0,26.236172,1.3084276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.2964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.152723,0.0,0.0,83.63081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.88147,0.0,0.0,0.0,294.65088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.16571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.097525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.19527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,366.25125,-504.92776,233.0503,11904.681,0.0,0.0,248.39154,0.0,0.0,17.862816,0.0,-5672.627,-305.29794,38.129215,0.0,176.39099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.394173,196.76036,596.50836,0.0,0.0,0.0,0.0,0.0,0.0,82.59834,0.47585717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2834.4578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6277466,0.0,0.0,48.905334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.51562,0.0,0.0,0.0,294.65088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.16571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.732586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
